favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
9,Twitter for Android,"""@SupadupaNycee: @realDonaldTrump but they didn't do it you wished death on innocent children"" - who were brutally attacking people in Park!",,False,Wed Apr 24 07:44:57 +0000 2013,10,326964968777981953
23,Twitter Web Client,Former Weather Underground radical Kathy Boudin spent 22 yrs in prison for armored-car robbery that killed 2 cops &amp; a Brinks guard...,,False,Thu Apr 25 16:02:50 +0000 2013,72,327452650448773121
163,Twitter Web Client,"After tearing W Bush down for 12 years, now the media loves him. Why not? He gave them Obama.",,False,Thu Apr 25 18:20:16 +0000 2013,261,327487236616630274
128,Twitter Web Client,Remember to take time this weekend to relax and regroup. It will pay major dividends for the next week.,,False,Fri Apr 12 20:38:57 +0000 2013,334,322811095112884224
6,Twitter for Android,"""@borland_jim: @realDonaldTrump Can you tell me if there is any retail outlets in Canada that sell your Apparel"" Will get back to you!",,False,Sat Apr 20 13:25:33 +0000 2013,10,325601129029312513
9,Twitter for Android,"""@Tanann5: @realDonaldTrump Love you to death...think you r amazing and brilliant! LIKE YOUR STRAIGHT FORWARD TALK....Thanks!",,False,Sat Apr 13 03:31:35 +0000 2013,21,322914939511664641
6,Twitter for Android,"""@Keegs_Dad: @realDonaldTrump I've been a fan of yours for almost 25 years""    Wow, great!",,False,Wed May 01 01:40:22 +0000 2013,13,329409929960116224
125595,Twitter for iPhone,"James Comey is a proven LEAKER &amp; LIAR. Virtually everyone in Washington thought he should be fired for the terrible job he did-until he was, in fact, fired. He leaked CLASSIFIED information, for which he should be prosecuted. He lied to Congress under OATH. He is a weak and.....",,False,Fri Apr 13 12:01:47 +0000 2018,33175,984763579210633216
11,Twitter Web Client,..and now holds an adjunct professorship at Columbia University. Boudin also received an academic laurel from NYU Law School...,,False,Thu Apr 25 16:02:55 +0000 2013,48,327452672280100864
11,Twitter for Android,"""@cherish_how: @realDonaldTrump I'm gonna defend my thesis tomorrow. Any advice for people who have stage fright like me?"" Be cool!",,False,Thu Apr 11 12:30:16 +0000 2013,11,322325728286871553
4,Twitter Web Client,... than his destruction of Scotland’s magnificent lands.@AlexSalmond,,False,Mon Apr 01 14:57:51 +0000 2013,11,318738986996736002
1,Twitter for Android,@Joan Rivers comes back in a big way tonight on Celebrity Apprentice - she is fantastic.  9 on NBC.,joan,False,Sun Apr 28 23:35:39 +0000 2013,2,328653769493606400
0,Twitter for Android,@GauravK725   Thanks.,,False,Thu Apr 25 13:01:57 +0000 2013,0,327407132079161346
14,Twitter Web Client,Watch out. Champion @Joan_Rivers returns to the Boardroom as a judge in this week’s All-Star Celebrity @ApprenticeNBC. Don't cross her!,,False,Wed Apr 24 18:04:29 +0000 2013,18,327120878703890432
25,Twitter Web Client,...What is wrong with this story? Isn’t this just ridiculous? Terrible! #KathyBoudin,,False,Thu Apr 25 16:03:11 +0000 2013,48,327452738470420480
134,Twitter for Android,"""@slabrunojr: @realDonaldTrump @anthonyskwiat @QueyNewton Cuban could buy and sell Trump 2x!!""  Wrong moron, the opposite times 4.",,False,Wed Apr 17 12:23:08 +0000 2013,68,324498259064258562
165,Twitter for Android,"Another freezing day in the Spring - what is going on with ""global warming""?  Good move changing the name to ""climate change"" - sad!",,False,Wed Apr 03 09:14:13 +0000 2013,387,319377285687939072
11,Twitter for Android,"""@gameexpress1: @realDonaldTrump Angel Cabrerra will win the MASTERS..265lbs of everyman golfer..Ole!"" He is looking good!",,False,Sun Apr 14 21:19:39 +0000 2013,19,323546114819235840
7,Twitter for Android,"""@MeWonderful2: @realDonaldTrump @Rockinar @mtneerjustice LOLss. I wonder if the false info comes from ""hate"" OR just lack of knowledge.Hate",,False,Thu Apr 18 12:27:24 +0000 2013,14,324861720487149570
0,Twitter Web Client,"@Katietennis1223 Thanks, everyone loves it.",Katietennis1223,False,Fri Apr 26 20:41:45 +0000 2013,0,327885230566428673
27,Twitter for Android,"""@joshlop17: @realDonaldTrump is a true model, hard work and dedication, money, and attitude &lt;&lt; and unsotppable force"" Wow,  thank you!",,False,Sat Apr 13 04:05:45 +0000 2013,27,322923537822273536
79988,Twitter Web Client,"America’s greatest treasure is our people – and my Administration HEARS YOUR VOICE and HAS YOUR BACK. We are fighting to give every American a future of dignity, purpose and pride. AMERICAN SPIRIT is back! #TaxCuts https://t.co/oSGZe0irBf",,False,Thu Apr 12 19:03:57 +0000 2018,19774,984507430909308929
5,Twitter for Android,"""@SCardamenis: @realDonaldTrump @craigdevlin @11sheila11 Jon Stewart is MUCH smarter than you. Jon L isn't even close!",,False,Wed Apr 24 07:59:38 +0000 2013,5,326968663288737792
12,Twitter for Android,"""@Sam_Kotowski: Once again @realDonaldTrump does a great job on Fox News w/ Greta. Run for president! RT I'm a huge fan!!!"" Thank you!",,False,Sat Apr 27 02:36:39 +0000 2013,18,327974543912206336
22,Twitter Web Client,Team Power+@LilJon= Spielberg?  Let’s find out. #CelebApprentice,,False,Mon Apr 29 01:56:16 +0000 2013,15,328689157515931648
42,Twitter for Android,"""@bclew70: @realDonaldTrump Donald I am disappointed in you. you should have ran for pres."" Never too late!",,False,Sat Apr 13 11:33:16 +0000 2013,34,323036159183835136
0,Twitter Web Client,@AlxG21  Thank you!,AlxG21,False,Wed Apr 10 18:32:28 +0000 2013,1,322054489123205120
